Exception_ID,Rule_ID,Record_ID,Severity,Description,Owner,Status
EX-00001,DQ-01,CLM-2026-000811,High,Duplicate Claim_ID in extract,Revenue Cycle Analyst,Open
EX-00002,DQ-01,CLM-2026-006579,High,Duplicate Claim_ID in extract,Revenue Cycle Analyst,Open
EX-00003,DQ-01,CLM-2026-004619,High,Duplicate Claim_ID in extract,Revenue Cycle Analyst,Open
EX-00004,DQ-01,CLM-2026-005073,High,Duplicate Claim_ID in extract,Revenue Cycle Analyst,Open
EX-00005,DQ-01,CLM-2026-003709,High,Duplicate Claim_ID in extract,Revenue Cycle Analyst,Open
EX-00006,DQ-01,CLM-2026-000918,High,Duplicate Claim_ID in extract,Revenue Cycle Analyst,Open
EX-00007,DQ-01,CLM-2026-005091,High,Duplicate Claim_ID in extract,Revenue Cycle Analyst,Open
EX-00008,DQ-01,CLM-2026-006013,High,Duplicate Claim_ID in extract,Revenue Cycle Analyst,Open
EX-00009,DQ-01,CLM-2026-009052,High,Duplicate Claim_ID in extract,Revenue Cycle Analyst,Open
EX-00010,DQ-01,CLM-2026-001164,High,Duplicate Claim_ID in extract,Revenue Cycle Analyst,Open
EX-00011,DQ-01,CLM-2026-005630,High,Duplicate Claim_ID in extract,Revenue Cycle Analyst,Open
EX-00012,DQ-01,CLM-2026-011475,High,Duplicate Claim_ID in extract,Revenue Cycle Analyst,Open
EX-00013,DQ-01,CLM-2026-009312,High,Duplicate Claim_ID in extract,Revenue Cycle Analyst,Open
EX-00014,DQ-01,CLM-2026-009914,High,Duplicate Claim_ID in extract,Revenue Cycle Analyst,Open
EX-00015,DQ-02,CLM-2026-005031,Critical,Denied claim with no denial reason code,Revenue Cycle Analyst,Open
EX-00016,DQ-02,CLM-2026-008953,Critical,Denied claim with no denial reason code,Revenue Cycle Analyst,Open
EX-00017,DQ-02,CLM-2026-007995,Critical,Denied claim with no denial reason code,Revenue Cycle Analyst,Open
EX-00018,DQ-02,CLM-2026-011791,Critical,Denied claim with no denial reason code,Revenue Cycle Analyst,Open
EX-00019,DQ-02,CLM-2026-006872,Critical,Denied claim with no denial reason code,Revenue Cycle Analyst,Open
EX-00020,DQ-02,CLM-2026-004209,Critical,Denied claim with no denial reason code,Revenue Cycle Analyst,Open
EX-00021,DQ-02,CLM-2026-008729,Critical,Denied claim with no denial reason code,Revenue Cycle Analyst,Open
